/Enable X,/Enable Y,/A2 X,/A2 Y,/A1 X,/A1 Y,/A0 X,/A0 Y,/D7 X,/D7 Y,/D6 X,/D6 Y,/D5 X,/D5 Y,/D4 X,/D4 Y,/D3 X,/D3 Y,/D2 X,/D2 Y,/D1 X,/D1 Y,/D0 X,/D0 Y
7.756860673172808e-08,1,7.756860673172808e-08,0,7.756860673172808e-08,1,7.756860673172808e-08,1,7.756860673172808e-08,-0.002734773172973664,7.756860673172808e-08,-0.002661852546161301,7.756860673172808e-08,-0.002067229850490009,7.756860673172808e-08,-0.004313641661593312,7.756860673172808e-08,0.9135304332327611,7.756860673172808e-08,-0.002066573032742566,7.756860673172808e-08,-0.002122016660176499,7.756860673172808e-08,-0.003794130072226056
7.757112767844509e-08,1,7.757112767844509e-08,0,7.757112767844509e-08,1,7.757112767844509e-08,1,7.757112767844509e-08,-0.001890878339938266,7.757112767844509e-08,-0.001842082293101492,7.757112767844509e-08,-0.001369538031592164,7.757112767844509e-08,-0.003185273380385763,7.757112767844509e-08,0.9360292399966164,7.757112767844509e-08,-0.001371492303108742,7.757112767844509e-08,-0.001408211892139389,7.757112767844509e-08,-0.002756046852408084
7.757550890447445e-08,1,7.757550890447445e-08,0,7.757550890447445e-08,1,7.757550890447445e-08,1,7.757550890447445e-08,-0.000853752312380288,7.757550890447445e-08,-0.0008296136343139665,7.757550890447445e-08,-0.0005315334073299162,7.757550890447445e-08,-0.00167061599225957,7.757550890447445e-08,0.9628362521011489,7.757550890447445e-08,-0.0005352898947605353,7.757550890447445e-08,-0.0005522735486077219,7.757550890447445e-08,-0.001402623464332857
7.758074282431279e-08,1,7.758074282431279e-08,0,7.758074282431279e-08,1,7.758074282431279e-08,1,7.758074282431279e-08,-0.0001369874253209315,7.758074282431279e-08,-0.000126782935882401,7.758074282431279e-08,3.642815752201515e-05,7.758074282431279e-08,-0.0005586644532177709,7.758074282431279e-08,0.981314824997372,7.758074282431279e-08,3.279459224000455e-05,7.758074282431279e-08,2.704586828068351e-05,7.758074282431279e-08,-0.0004264574048128213
7.758697341468005e-08,1,7.758697341468005e-08,0,7.758697341468005e-08,1,7.758697341468005e-08,1,7.758697341468005e-08,0.0002715930527375424,7.758697341468005e-08,0.0002756311775380545,7.758697341468005e-08,0.0003499151983019573,7.758697341468005e-08,0.0001032929627654313,7.758697341468005e-08,0.9924967534574763,7.758697341468005e-08,0.0003475128587546691,7.758697341468005e-08,0.0003459626833832134,7.758697341468005e-08,0.0001515421234900128
7.759413340865334e-08,1,7.759413340865334e-08,0,7.759413340865334e-08,1,7.759413340865334e-08,1,7.759413340865334e-08,0.0004260711215090942,7.759413340865334e-08,0.0004274277496702895,7.759413340865334e-08,0.000457986551234593,7.759413340865334e-08,0.0003647221441644474,7.759413340865334e-08,0.9980802939752593,7.759413340865334e-08,0.0004569070286824595,7.759413340865334e-08,0.0004565603385120216,7.759413340865334e-08,0.0003804025498203862
7.76029028086999e-08,1,7.76029028086999e-08,0,7.76029028086999e-08,1,7.76029028086999e-08,1,7.76029028086999e-08,0.0004358846032815169,7.76029028086999e-08,0.0004364031354867824,7.76029028086999e-08,0.0004447500517014096,7.76029028086999e-08,0.0004225726270348326,7.76029028086999e-08,1.000456903624712,7.76029028086999e-08,0.0004447696790614841,7.76029028086999e-08,0.0004444049731406437,7.76029028086999e-08,0.0004251671353133531
7.761403000260533e-08,1,7.761403000260533e-08,0,7.761403000260533e-08,1,7.761403000260533e-08,1,7.761403000260533e-08,0.0003705794793975247,7.761403000260533e-08,0.0003705461597058178,7.761403000260533e-08,0.0003720850409813291,7.761403000260533e-08,0.0003666773720373476,7.761403000260533e-08,1.001059124852304,7.761403000260533e-08,0.0003725509921547509,7.761403000260533e-08,0.0003722073246936523,7.761403000260533e-08,0.0003678122394384882
7.762924951244136e-08,1,7.762924951244136e-08,0,7.762924951244136e-08,1,7.762924951244136e-08,1,7.762924951244136e-08,0.0002871169986729647,7.762924951244136e-08,0.0002872178667415001,7.762924951244136e-08,0.0002865005137058042,7.762924951244136e-08,0.0002888580877050144,7.762924951244136e-08,1.000890321959381,7.762924951244136e-08,0.000287113789188855,7.762924951244136e-08,0.0002866570329333483,7.762924951244136e-08,0.0002883658563758507
7.76517082207686e-08,1,7.76517082207686e-08,0,7.76517082207686e-08,1,7.76517082207686e-08,1,7.76517082207686e-08,0.0002036989868897905,7.76517082207686e-08,0.000203581423404877,7.76517082207686e-08,0.0002037976025049645,7.76517082207686e-08,0.000201975863525286,7.76517082207686e-08,1.000570302981074,7.76517082207686e-08,0.0002042774855085359,7.76517082207686e-08,0.0002039737336522458,7.76517082207686e-08,0.0002026936471928858
